cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
3,rival title,2,4,47,0.025,0.0002201238332257,1,0.0352045692637203
3,trying retake,2,4,47,0.025,0.0002201238332257,1,0.0352045692637203
4,launch,38,59,42,0.324,8.816107040459043e-83,0,5.0357603415102055e-79
4,launch line,19,23,42,0.126,7.957505955011493e-42,1,1.8340794777992807e-38
4,good launch,13,17,42,0.093,1.2320400544452285e-27,1,1.7984499354755152e-24
4,line,23,345,42,1.895,1.11502065496168e-20,0,1.2106359798863278e-17
4,good,15,215,42,1.181,1.6810494858170068e-13,0,1.2269419847149726e-10
4,got good,4,11,42,0.06,2.523099025798211e-07,1,8.104514856070065e-05
4,got launch,3,4,42,0.022,6.140238315501128e-07,1,0.0001820947965998
4,gets launch,3,5,42,0.027,1.5291865165733828e-06,1,0.0004292701021396
4,chops,3,9,42,0.049,1.2649786079222804e-05,0,0.0028408175999042
4,pole sitter,3,9,42,0.049,1.2649786079222804e-05,1,0.0028408175999042
4,sitter,3,9,42,0.049,1.2649786079222804e-05,0,0.0028408175999042
4,chop,3,10,42,0.055,1.8002036483094508e-05,0,0.0037840568720048
4,got,13,668,42,3.669,3.605240787901284e-05,0,0.0071117434497195
4,initial launch,2,3,42,0.016,8.804637885196075e-05,1,0.015981754402115
4,great launch,2,4,42,0.022,0.0001754787338723,1,0.0289619273130862
5,rain,32,42,43,0.236,1.253534829152077e-70,0,5.489479723822776e-67
5,rain coming,4,5,43,0.028,4.3164981136147456e-09,1,1.8293040521750024e-06
5,wet,5,16,43,0.09,1.845802559474085e-08,0,7.174383344777143e-06
5,minutes,4,9,43,0.051,1.070107080457516e-07,0,3.63272319902291e-05
5,rain falling,3,3,43,0.017,1.6565278016339152e-07,1,5.537608052607055e-05
5,falling,3,7,43,0.039,5.707385082657329e-06,0,0.0013859767516066
5,light,3,13,43,0.073,4.555110861171706e-05,0,0.0088394718537266
5,expected,3,14,43,0.079,5.7746973566270894e-05,0,0.0109316518721072
5,track,7,192,43,1.08,8.445500638500863e-05,0,0.0154316563544323
5,extraordinary,3,16,43,0.09,8.814680094813818e-05,0,0.015981754402115
5,class,2,3,43,0.017,9.233324353838992e-05,0,0.0166057313508225
5,lasting,2,3,43,0.017,9.233324353838992e-05,0,0.0166057313508225
5,temperature,3,19,43,0.107,0.0001507406609121,0,0.0251635388411576
5,10 minutes,2,4,43,0.022,0.0001840064764707,1,0.0301046511243068
5,30,2,5,43,0.028,0.0003055817596059,0,0.0467358664144189
6,grand,445,516,465,31.377,0.0,0,0.0
6,grand prix,445,516,465,31.377,0.0,1,0.0
6,prix,454,527,465,32.046,0.0,0,0.0
6,wins,88,123,465,7.479,2.6008637852995223e-81,0,1.4237128360729583e-77
6,wins grand,32,34,465,2.067,2.190825743846994e-37,1,4.497217545681917e-34
