Unnamed: 0,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47
H24,0.4716199,0.5044368,0.39992332,0.5192119,0.4947735,0.39130932,0.20687354,0.5767551,0.456896,0.38848555,0.33760285,0.48021314,0.34237868,0.5172042,0.4545136,0.24403974,0.49785712,0.416362,0.38760704,0.285447,0.2813449,0.5787546,0.10347982,0.39001244,0.5192228,0.4133668,0.53360695,0.68433166,0.47569773,0.43097597,0.6490741,0.42018014,0.5285608,0.25849533,0.46602213,0.3133247,0.5658685,0.27555653,0.5703356,0.525969,0.62268287,0.52333105,0.5159687,0.71423256,0.6939738,0.66232,0.71331465,0.92736727
H25,0.5635222,0.48203355,0.44230726,0.65617764,0.57036674,0.4748159,0.22425097,0.6439574,0.5445163,0.41520375,0.55621254,0.51722544,0.43415228,0.5776008,0.549554,0.3526591,0.4085377,0.46612185,0.4007706,0.43533003,0.28027904,0.6616671,0.3069831,0.4363559,0.46266365,0.44763416,0.5363548,0.5536184,0.63070333,0.5225649,0.53038186,0.36289605,0.484949,0.48400283,0.58325994,0.48050228,0.53659576,0.3829459,0.6463605,0.51918375,0.6742625,0.71727026,0.5989219,0.70076823,0.6616125,0.9297073,0.6071899,0.76158285
H26,0.48073894,0.37961245,0.37099257,0.23428702,0.5378908,0.43495876,0.2574038,0.5244489,0.33383602,0.39693955,0.25641018,0.51134646,0.30879766,0.22712535,0.4002357,0.39797014,0.45088583,0.3545489,0.23735848,0.60710466,0.2755447,0.4074992,0.14436644,0.40632993,0.42073673,0.46102273,0.96414924,0.7758099,0.6055213,0.4082086,0.5970354,0.24521112,0.53554446,0.31969753,0.59736675,0.38554972,0.59552884,0.2884013,0.3369047,0.3628349,0.35066673,0.40447065,0.25360113,0.45778856,0.3291216,0.39311084,0.17759761,0.5259483
H27,0.44555008,0.3635736,0.43068284,0.23883489,0.5190593,0.45361045,0.25151774,0.5037143,0.29109037,0.4085769,0.27383134,0.5383011,0.36315262,0.23509657,0.36467284,0.19590762,0.6263211,0.37921298,0.30025595,0.25771594,0.39193988,0.43913794,0.084508695,0.41487285,0.43290734,0.39000323,0.76065964,0.9724471,0.6095603,0.39238936,0.7496294,0.30291754,0.6912459,0.23092408,0.57910275,0.29359138,0.7268062,0.23238817,0.40782958,0.38453057,0.41339076,0.34130806,0.22311553,0.5002922,0.34027734,0.3650797,0.22370847,0.6032784
H28,0.49411768,0.4532749,0.4210081,0.33757854,0.501748,0.39311445,0.26281565,0.5198084,0.43438876,0.31761327,0.3393976,0.566013,0.4494769,0.36137432,0.43670478,0.38897657,0.4556703,0.46076217,0.31181574,0.42634612,0.2713754,0.4666336,0.21159108,0.44775516,0.5132956,0.4389168,0.57937,0.6611755,0.5728353,0.4402175,0.630731,0.40283054,0.55541384,0.34669948,0.54149777,0.40800005,0.704189,0.43365568,0.3893311,0.40102857,0.4737707,0.44188607,0.37438303,0.5636235,0.41216147,0.4314842,0.31511736,0.53681815
H29,0.47353637,0.43689805,0.39723653,0.36254865,0.52032185,0.37364858,0.2661708,0.47130686,0.4479776,0.3275838,0.3636517,0.4805333,0.46903113,0.4174978,0.4375946,0.36433372,0.4265384,0.4642621,0.3382967,0.4021966,0.28336793,0.47694677,0.26056445,0.5020378,0.49431813,0.47626957,0.46947235,0.54303086,0.50237405,0.4144733,0.5528116,0.41708893,0.49636006,0.35698456,0.45039165,0.3599727,0.71118796,0.51426494,0.40258324,0.40789145,0.47483364,0.45655537,0.4320745,0.54642534,0.4095958,0.45032007,0.32954472,0.50260216
H30,0.5873312,0.502455,0.54519355,0.57080865,0.5379406,0.45940557,0.28746027,0.59648,0.5548035,0.33175927,0.5603075,0.51249695,0.42760336,0.5219817,0.43105036,0.3641312,0.42735976,0.44946957,0.3908937,0.40849057,0.2710837,0.9678988,0.32141563,0.45391262,0.5236679,0.50795007,0.5013281,0.5576402,0.57927334,0.5274664,0.61982596,0.4582989,0.5454346,0.4498769,0.5538031,0.4906748,0.58016205,0.4703595,0.61599386,0.46561393,0.5950054,0.6199899,0.66986465,0.6167104,0.51950204,0.70738864,0.47231,0.62045527
H31,0.5179305,0.4614798,0.4144611,0.5908526,0.579337,0.44460696,0.2441318,0.64226866,0.48339212,0.38169605,0.50586593,0.55193347,0.35720658,0.43554285,0.52431566,0.35217464,0.39381272,0.38799214,0.34909302,0.45256335,0.26573768,0.571452,0.2398139,0.40586597,0.36716864,0.4431416,0.60169965,0.6036806,0.5531658,0.59740865,0.58983594,0.369722,0.5284419,0.42689866,0.6452475,0.515688,0.6038419,0.3835112,0.45792526,0.39377934,0.7216698,0.9136251,0.5675994,0.53550005,0.50747126,0.6528695,0.4154656,0.61334926
H32,0.5183966,0.35681003,0.41343683,0.34251153,0.57370913,0.45761716,0.2605378,0.5277011,0.38909134,0.33519888,0.4028825,0.65642476,0.38129097,0.2666056,0.36746305,0.31414366,0.55428785,0.3722523,0.24126798,0.35495615,0.32540694,0.47269356,0.18222697,0.38611016,0.40301663,0.37937295,0.68330693,0.8195701,0.6371935,0.5048628,0.74710816,0.38636717,0.7291827,0.40006042,0.6733359,0.44982454,0.8740964,0.54018855,0.36387688,0.32434303,0.45239425,0.4347865,0.30679426,0.43690115,0.35290456,0.42725703,0.22914785,0.51063406
H33,0.5357876,0.39283153,0.41794634,0.3992417,0.5868368,0.42560208,0.29390538,0.52545714,0.45084554,0.31394237,0.49516147,0.63733786,0.38705343,0.30650145,0.34324735,0.3564393,0.52906895,0.38056505,0.270312,0.37784576,0.33226877,0.49994606,0.2934057,0.4349869,0.41071492,0.4873069,0.602152,0.6944245,0.60429996,0.5540995,0.68065166,0.43656677,0.695815,0.47216994,0.6636691,0.53404,0.9483464,0.7336848,0.37346464,0.3135484,0.48851287,0.4693639,0.41254833,0.42631394,0.31668413,0.44551834,0.23796445,0.47868696
