pair_id,event_id,threshold,category_id,category_name,register,n_category,n_total,n_assigned,p_all,p_assigned
P01,2023_Australia_GP,0.35,22,Wheel-to-wheel,FULL_RACE,24,2466,1946,0.0097323600973236,0.0123329907502569
P01,2023_Australia_GP,0.35,23,Circuit action,FULL_RACE,50,2466,1946,0.0202757502027575,0.0256937307297019
P01,2023_Australia_GP,0.35,24,Inter-car distance,FULL_RACE,47,2466,1946,0.019059205190592,0.0241521068859198
P01,2023_Australia_GP,0.35,25,Driver & team references,FULL_RACE,56,2466,1946,0.0227088402270884,0.0287769784172661
P01,2023_Australia_GP,0.35,26,Defending & attacking,FULL_RACE,40,2466,1946,0.016220600162206,0.0205549845837615
P01,2023_Australia_GP,0.35,27,Overtake battles,FULL_RACE,285,2466,1946,0.1155717761557177,0.1464542651593011
P01,2023_Australia_GP,0.35,28,Corner battles,FULL_RACE,48,2466,1946,0.0194647201946472,0.0246659815005138
P01,2023_Australia_GP,0.35,29,Corner specific moves,FULL_RACE,27,2466,1946,0.010948905109489,0.013874614594039
P01,2023_Australia_GP,0.35,30,Lap pace & timing,FULL_RACE,63,2466,1946,0.0255474452554744,0.0323741007194244
P01,2023_Australia_GP,0.35,31,Race leader changes,FULL_RACE,93,2466,1946,0.0377128953771289,0.0477903391572456
P01,2023_Australia_GP,0.35,32,Front position changes,FULL_RACE,46,2466,1946,0.0186536901865369,0.0236382322713257
P01,2023_Australia_GP,0.35,33,Field position changes,FULL_RACE,86,2466,1946,0.0348742903487429,0.0441932168550873
P01,2023_Australia_GP,0.4,0,DRS-assisted battles,FULL_RACE,62,2466,1777,0.0251419302514193,0.0348902644907146
P01,2023_Australia_GP,0.4,1,Time penalties,FULL_RACE,19,2466,1777,0.0077047850770478,0.0106921778277996
P01,2023_Australia_GP,0.4,2,Lights-out race starts,FULL_RACE,9,2466,1777,0.0036496350364963,0.0050647158131682
P01,2023_Australia_GP,0.4,3,Mirror checks defending,FULL_RACE,11,2466,1777,0.0044606650446066,0.0061902082160945
P01,2023_Australia_GP,0.4,4,Race start launch,FULL_RACE,8,2466,1777,0.0032441200324412,0.0045019696117051
P01,2023_Australia_GP,0.4,5,Weather conditions,FULL_RACE,9,2466,1777,0.0036496350364963,0.0050647158131682
P01,2023_Australia_GP,0.4,6,Grand Prix wins,FULL_RACE,111,2466,1777,0.0450121654501216,0.0624648283624085
P01,2023_Australia_GP,0.4,7,Race start lights,FULL_RACE,10,2466,1777,0.0040551500405515,0.0056274620146314
P01,2023_Australia_GP,0.4,8,Race control flags,FULL_RACE,51,2466,1777,0.0206812652068126,0.0287000562746201
P01,2023_Australia_GP,0.4,9,Formula 1 milestones,FULL_RACE,31,2466,1777,0.0125709651257096,0.0174451322453573
P01,2023_Australia_GP,0.4,10,Chicane moves,FULL_RACE,6,2466,1777,0.0024330900243309,0.0033764772087788
P01,2023_Australia_GP,0.4,11,Team radio celebrations,FULL_RACE,27,2466,1777,0.010948905109489,0.0151941474395047
P01,2023_Australia_GP,0.4,12,Podium finishes,FULL_RACE,43,2466,1777,0.0174371451743714,0.024198086662915
P01,2023_Australia_GP,0.4,13,Championship & title,FULL_RACE,60,2466,1777,0.024330900243309,0.0337647720877884
P01,2023_Australia_GP,0.4,14,Pit stops,FULL_RACE,44,2466,1777,0.0178426601784266,0.0247608328643781
P01,2023_Australia_GP,0.4,15,Tires & compounds,FULL_RACE,78,2466,1777,0.0316301703163017,0.0438942037141249
P01,2023_Australia_GP,0.4,16,Safety car deployment,FULL_RACE,81,2466,1777,0.0328467153284671,0.0455824423185143
P01,2023_Australia_GP,0.4,17,Gap & pace,FULL_RACE,59,2466,1777,0.0239253852392538,0.0332020258863252
P01,2023_Australia_GP,0.4,18,Team dynamics,FULL_RACE,138,2466,1777,0.0559610705596107,0.0776589758019133
P01,2023_Australia_GP,0.4,19,Race lead holding,FULL_RACE,18,2466,1777,0.0072992700729927,0.0101294316263365
P01,2023_Australia_GP,0.4,20,Wing & car damage,FULL_RACE,22,2466,1777,0.0089213300892133,0.012380416432189
P01,2023_Australia_GP,0.4,21,Braking & lockups,FULL_RACE,59,2466,1777,0.0239253852392538,0.0332020258863252
P01,2023_Australia_GP,0.4,22,Wheel-to-wheel,FULL_RACE,24,2466,1777,0.0097323600973236,0.0135059088351153
P01,2023_Australia_GP,0.4,23,Circuit action,FULL_RACE,49,2466,1777,0.0198702351987023,0.0275745638716938
