event_id,domain,metric,H_r,F_r,observed_effect,null_mean,null_sd,null_p2.5,null_p50,null_p97.5,p_one_sided_depletion,p_one_sided_enrichment,p_two_sided,z_vs_null,outside_central_95,below_null_p2.5
2023_Singapore_GP,Race dynamics,all,60,1635,0.1418960244648313,-0.0003839755351682,0.0589616101320949,-0.1081039755351682,-0.0081039755351682,0.1252293577981651,0.9876012398760124,0.0124987501249875,0.024997500249975,2.413095566441314,True,False
2023_Singapore_GP,Narrative & meta,all,60,1635,0.1539755351681954,4.053516819570395e-05,0.0529747504495896,-0.0960244648318043,0.0039755351681957,0.1039755351681956,0.9953004699530048,0.0047995200479952,0.0095990400959904,2.905818313320477,True,False
2023_Singapore_GP,Strategy & technical,all,60,1635,-0.1048929663608564,0.0002570336391437,0.0505372207273576,-0.0882262996941896,-0.0048929663608562,0.0951070336391437,0.0077992200779922,0.9923007699230078,0.0155984401559844,-2.0806446909154768,True,True
2023_Singapore_GP,Regulatory,all,60,1635,0.0059633027522934,-0.000113363914373,0.0262610564625811,-0.0440366972477064,0.0059633027522935,0.0559633027522935,0.4994500549945005,0.5006499350064993,0.9989001099890013,0.2313946004162126,False,False
2024_Bahrain_GP,Race dynamics,assigned,72,1322,0.078550176656542,0.0016977586210698,0.0664514173913205,-0.1267439409905162,0.0014193243156061,0.1332560590094837,0.8759124087591241,0.1241875812418758,0.2483751624837516,1.1565203731156246,False,False
2024_Bahrain_GP,Narrative & meta,assigned,72,1322,0.0798363602553767,-0.0009170229456687,0.0638603284573648,-0.1235950122936424,-0.0046556183542484,0.1280716543730242,0.8936106389361064,0.1064893510648935,0.212978702129787,1.2645312849425605,False,False
2024_Bahrain_GP,Strategy & technical,assigned,72,1322,-0.1215056096200337,-0.0005965213151428,0.0564193571420674,-0.1044467860906217,-0.0022245638683995,0.1155532139093783,0.0116988301169883,0.9884011598840116,0.0233976602339766,-2.1430426440420844,True,True
2024_Bahrain_GP,Regulatory,assigned,72,1322,-0.0368809272918862,-0.0001842143602581,0.0256840364533704,-0.0368809272918862,0.0001561097451508,0.0592729188619599,0.1415858414158584,1.0,0.2831716828317168,-1.4287751459258031,False,False
2024_Bahrain_GP,Race dynamics,all,72,1322,0.1663514876449816,0.0010264876449823,0.051996538804489,-0.0975374012439065,-0.0003151790216843,0.1107959320894267,0.9986001399860014,0.0014998500149985,0.002999700029997,3.179538557780427,True,False
2024_Bahrain_GP,Narrative & meta,all,72,1322,0.1506135484955451,-0.0008128403933434,0.048753887381593,-0.0993864515044545,-0.0021642292822323,0.0950579929399899,0.9974002599740026,0.0026997300269973,0.0053994600539946,3.105934665346484,True,False
2024_Bahrain_GP,Strategy & technical,all,72,1322,-0.0638972936628007,-0.0004750714405782,0.0422457816024146,-0.0777861825516893,-0.0083417381072448,0.0888804841149773,0.0390960903909609,0.961003899610039,0.0781921807819218,-1.5012675778875295,False,False
2024_Bahrain_GP,Regulatory,all,72,1322,-0.0264750378214826,-0.0001500378214826,0.0184791959663342,-0.0264750378214826,0.0013027399562951,0.0429694066229618,0.1415858414158584,1.0,0.2831716828317168,-1.4245749678697823,False,False
2024_SaoPaulo_GP,Race dynamics,assigned,96,1905,0.1276096645554769,-0.0003919756371707,0.0552789568930302,-0.1063692364050012,-0.0004460259091494,0.1109687312907664,0.99010098990101,0.00999900009999,0.01999800019998,2.315558168732133,True,False
2024_SaoPaulo_GP,Narrative & meta,assigned,96,1905,-0.022050199390101,6.511797617902713e-05,0.051959212667301,-0.0972288262928656,-0.0007037297677691,0.1042069845179451,0.3434656534346565,0.6566343365663434,0.686931306869313,-0.4256284156552978,False,False
2024_SaoPaulo_GP,Strategy & technical,assigned,96,1905,-0.1538822425521934,0.0002405695651095,0.0507257390447991,-0.0995940020570562,-0.000168054869915,0.102603800140746,0.0008999100089991,0.9992000799920008,0.0017998200179982,-3.0383551825866406,True,True
2024_SaoPaulo_GP,Regulatory,assigned,96,1905,0.0483227773868167,8.628809588228883e-05,0.0307042231634099,-0.0517982147486943,-0.0011909272993016,0.0647431386347642,0.9317068293170684,0.0683931606839316,0.1367863213678632,1.5710050384345011,False,False
