threshold,category_id,category_name,metric,n_events,mean_delta,median_delta,sd,q1,q3,iqr,min,max,n_positive,n_negative,n_zero,majority_sign,n_majority
0.35,22,Wheel-to-wheel,assigned,10,0.0167177807795976,0.0175476889597442,0.0227537359192522,-0.0044473684956394,0.0317773091366214,0.0362246776322609,-0.011472275334608,0.0513957934990439,6,4,0,1,6
0.35,23,Circuit action,all,10,-0.0006492583059135,-0.005486010032218,0.0160186174156952,-0.0112422864788117,0.0141815140961647,0.0254238005749764,-0.0200096498483595,0.023841896856066,4,6,0,-1,6
0.35,23,Circuit action,assigned,10,-0.0059255055419611,-0.010668849495039,0.0168106932560467,-0.0158634681006331,0.0082361069446614,0.0240995750452946,-0.0288102420455361,0.0204601154241442,4,6,0,-1,6
0.35,24,Inter-car distance,all,10,0.0001774685958929,-0.0042131242472329,0.0169869642777322,-0.0094471550725709,-0.0003449582398772,0.0091021968326936,-0.0178477690288713,0.0397643242211726,2,8,0,-1,8
0.35,24,Inter-car distance,assigned,10,-0.0029190741451039,-0.0080439176443515,0.017589260796596,-0.0117138986567354,-0.0038876850062464,0.0078262136504889,-0.0215189873417721,0.0373863546525417,2,8,0,-1,8
0.35,25,Driver & team references,all,10,0.0078339472077528,0.0062929641131302,0.0218209519737432,-0.0092236841317723,0.028202596515764,0.0374262806475364,-0.0227362204724409,0.0361146891846763,6,4,0,1,6
0.35,25,Driver & team references,assigned,10,0.0015640601189834,-0.0029106902357942,0.0221028941458689,-0.0149419215066847,0.0225681729130566,0.0375100944197414,-0.0307925151348376,0.0327614831211953,5,5,0,0,5
0.35,26,Defending & attacking,all,10,0.016166099554542,0.0175652331820707,0.0188330275972122,0.0010999941615106,0.0278052256486536,0.026705231487143,-0.0080645161290322,0.0426962514708354,8,2,0,1,8
0.35,26,Defending & attacking,assigned,10,0.0136242382832447,0.0155152505966845,0.0187939166869875,-0.0017601343309079,0.0268654391260916,0.0286255734569995,-0.0110518834399431,0.0400856381116527,6,4,0,1,6
0.35,27,Overtake battles,all,10,0.037386378232085,0.0404895202382947,0.0416361050469668,0.0291175723064582,0.0532304077831889,0.0241128354767307,-0.0393413173652694,0.1033997310472348,8,2,0,1,8
0.35,27,Overtake battles,assigned,10,0.0187730357619707,0.0208827008046307,0.0442723429992457,0.0069869889642974,0.0375680285356103,0.0305810395713128,-0.0613384321223709,0.0855842512051275,8,2,0,1,8
0.35,28,Corner battles,all,10,0.009422887912979,0.0096598260395952,0.0174284926402268,-0.001528174223462,0.0210840769695672,0.0226122511930292,-0.0157185628742514,0.0401785714285714,7,3,0,1,7
0.35,28,Corner battles,assigned,10,0.0079069240759508,0.0082482671773223,0.0187194559856094,-0.002482956132752,0.0184753969210701,0.0209583530538221,-0.020076481835564,0.0425616657867192,7,3,0,1,7
0.35,29,Corner specific moves,all,10,0.0061686961487873,-0.0057607637506084,0.0207954230847991,-0.0072957211937267,0.0188599032250459,0.0261556244187727,-0.0128440366972477,0.0478746243022756,4,6,0,-1,6
0.35,29,Corner specific moves,assigned,10,0.0046006691035703,-0.0071906913889916,0.0211541160688252,-0.0088305017664214,0.017815127155787,0.0266456289222084,-0.0149253731343283,0.0476638469444224,4,6,0,-1,6
0.35,30,Lap pace & timing,all,10,-0.0085852733651447,-0.0090565181596299,0.0146149337765325,-0.0178902555556294,0.0042724442556596,0.022162699811289,-0.0313988095238095,0.0108083832335329,4,6,0,-1,6
0.35,30,Lap pace & timing,assigned,10,-0.0160862258636673,-0.0167189524539211,0.0144400792137517,-0.024728683255556,-0.0033833655576664,0.0213453176978896,-0.0391067144617037,0.0027151051625238,1,9,0,-1,9
0.35,31,Race leader changes,all,10,-0.0073302183940934,-0.0082337949256468,0.0243312736406044,-0.0268073777390907,0.005898251352931,0.0327056290920218,-0.0366766467065868,0.0430607741396791,4,6,0,-1,6
0.35,31,Race leader changes,assigned,10,-0.0161748413588471,-0.0166382895389438,0.0243268289702993,-0.0370771721830497,-0.0020328192901636,0.035044352892886,-0.0468451242829827,0.0330390828174792,1,9,0,-1,9
0.35,32,Front position changes,all,10,0.0099994214234154,0.0099266605673604,0.0223416024854463,-0.0079955920328507,0.027675881217897,0.0356714732507477,-0.0245248313917841,0.0458715596330275,6,4,0,1,6
0.35,32,Front position changes,assigned,10,0.0069092962298443,0.0058425831164542,0.0228161062288031,-0.0104631316351103,0.0244817278431583,0.0349448594782687,-0.0296076980014803,0.042501776830135,6,4,0,1,6
0.35,33,Field position changes,all,10,0.0044358906276183,0.0032788246260732,0.017861974724866,-0.0085359541540333,0.0156552074422583,0.0241911615962916,-0.0214067278287461,0.0371662672091856,5,5,0,0,5
0.35,33,Field position changes,assigned,10,-0.000493238384625,-0.0009027693199153,0.018252845718571,-0.015020149700577,0.0128250123358227,0.0278451620363998,-0.0248756218905472,0.0311429119719275,5,5,0,0,5
0.4,0,DRS-assisted battles,all,10,-0.0004008936937426,-0.0022844075628271,0.0148692599262192,-0.0107945843520473,0.0092457050983138,0.0200402894503612,-0.0219364599092284,0.0261467889908256,4,6,0,-1,6
0.4,0,DRS-assisted battles,assigned,10,-0.003949390088696,-0.0041569529194421,0.0162188636527793,-0.0143574487015514,0.0069163714086644,0.0212738201102158,-0.0305584826132771,0.0202970297029703,3,7,0,-1,7
0.4,1,Time penalties,all,10,0.0107162946430751,0.0031613654411606,0.0286800702416336,-0.0036652855020746,0.0101149497456504,0.0137802352477251,-0.0089285714285714,0.0886461178306671,5,5,0,0,5
0.4,1,Time penalties,assigned,10,0.0071337984467951,-0.0031552838373984,0.0263819533310018,-0.0048835280138107,0.0089886591879201,0.0138721872017309,-0.0116166505324298,0.0782010582010581,4,6,0,-1,6
0.4,2,Lights-out race starts,all,10,-0.0016351364346331,-0.0026343588177954,0.0043729382258836,-0.0037490199542829,-0.0015814700873482,0.0021675498669346,-0.007168458781362,0.0062171916010498,2,8,0,-1,8
0.4,2,Lights-out race starts,assigned,10,-0.0026178975517302,-0.0034951528295241,0.0051777522920937,-0.0052177068774227,-0.0021435380112757,0.003074168866147,-0.009925558312655,0.0063956840010006,2,8,0,-1,8
0.4,3,Mirror checks defending,all,10,0.0045918111104887,0.003772006279094,0.0075671853942008,-0.001687021549626,0.010123920323219,0.0118109418728451,-0.0044642857142857,0.017005988023952,5,5,0,0,5
0.4,3,Mirror checks defending,assigned,10,0.0037827416788334,0.0029611186795127,0.0074962931229542,-0.0023151747903439,0.009452796803468,0.011767971593812,-0.0058083252662149,0.0162152911479057,5,5,0,0,5
0.4,4,Race start launch,all,10,0.0068286172706079,0.0032444725203718,0.0113084591185908,-0.0031051330350835,0.0156578575510929,0.0187629905861765,-0.0037821482602118,0.0255561519651696,5,5,0,0,5
0.4,4,Race start launch,assigned,10,0.0061424313817546,0.0028697727628657,0.0117566993495733,-0.0043069983005902,0.0152257686522184,0.0195327669528086,-0.0052687038988408,0.025309420201445,5,5,0,0,5
0.4,5,Weather conditions,all,10,-0.0135385102331112,-0.0033538695060157,0.0257691675755422,-0.0117818762120232,-0.0023150875018899,0.0094667887101333,-0.0707885304659498,0.0155089820359281,1,9,0,-1,9
0.4,5,Weather conditions,assigned,10,-0.0195651969630685,-0.004436394464086,0.0353073480035995,-0.015494634508043,-0.0031872432850906,0.0123073912229524,-0.0980148883374689,0.0141188550892054,1,9,0,-1,9
0.4,6,Grand Prix wins,all,10,0.0277837340100942,0.0197717633385008,0.0296083955771681,0.0177076467228661,0.0430442578156287,0.0253366110927626,-0.0327380952380952,0.0749758592895847,9,1,0,1,9
0.4,6,Grand Prix wins,assigned,10,0.0139767890356604,0.0073241155793197,0.0323114879221884,-0.0009363970850284,0.0294842043184449,0.0304206014034733,-0.0483700795109694,0.0713053479010926,7,3,0,1,7
0.4,7,Race start lights,all,10,0.0006010562707327,-0.002345996081232,0.0073274379850491,-0.0036877749415319,0.0013418196375144,0.0050295945790463,-0.0062724014336917,0.0151162142578451,3,7,0,-1,7
0.4,7,Race start lights,assigned,10,-0.0004322474879981,-0.0030955562900266,0.0078168492084778,-0.0050716603407607,-5.113386141828715e-05,0.0050205264793424,-0.0086848635235732,0.0144368858654572,3,7,0,-1,7
0.4,8,Race control flags,all,10,0.0051338780287113,0.0042850112485939,0.0148751511673791,-0.0074408189777719,0.0078566602468133,0.0152974792245853,-0.0089820359281437,0.036764951786411,6,4,0,1,6
0.4,8,Race control flags,assigned,10,0.0023197710517607,0.0009172989526771,0.014549690929704,-0.009586417665032,0.0051086751889371,0.0146950928539692,-0.0125786163522012,0.0318820861678004,5,5,0,0,5
0.4,9,Formula 1 milestones,all,10,0.0049668575250117,0.003582428673496,0.0169186532111414,-0.0090488905900651,0.0089304044267279,0.017979295016793,-0.0125861489325937,0.0371559633027522,6,4,0,1,6
