fr_cluster,term,in_cluster,cluster_size,p_value,significant,weight
3,won,51,1046,1.1954667850356977e-30,True,0.0487571701720841
3,start grand,25,1046,1.5202188951908836e-28,True,0.0239005736137667
3,lead grand,22,1046,2.1834374468726e-27,True,0.0210325047801147
3,year,89,1046,6.004080334548708e-26,True,0.0850860420650095
3,won grand,20,1046,5.898652442766954e-25,True,0.0191204588910133
3,belgian,22,1046,4.19629897282241e-24,True,0.0210325047801147
3,belgian grand,22,1046,4.19629897282241e-24,True,0.0210325047801147
3,second grand,20,1046,1.2091953105420228e-22,True,0.0191204588910133
3,season,65,1046,5.686323903554456e-22,True,0.0621414913957935
3,victory,43,1046,3.49589148542852e-21,True,0.0411089866156787
3,fastest,49,1046,5.696981636066249e-21,True,0.0468451242829827
3,win,66,1046,2.867632976581961e-20,True,0.0630975143403441
3,sector grand,16,1046,4.258065788992593e-20,True,0.0152963671128107
3,f1,16,1046,6.822502326444009e-19,True,0.0152963671128107
3,winner grand,14,1046,1.1378012799311068e-17,True,0.0133843212237093
3,end grand,15,1046,8.41597501741603e-17,True,0.01434034416826
3,formula world,14,1046,1.609210798484938e-16,True,0.0133843212237093
3,time,109,1046,6.660732235457959e-16,True,0.1042065009560229
3,prix win,14,1046,1.213846710737015e-15,True,0.0133843212237093
3,championship,51,1046,1.6690325892433828e-14,True,0.0487571701720841
3,formula history,11,1046,4.9361345240506936e-14,True,0.0105162523900573
3,started grand,11,1046,4.9361345240506936e-14,True,0.0105162523900573
3,fastest sector,12,1046,2.453489675549396e-13,True,0.011472275334608
3,history,21,1046,2.63234222921177e-13,True,0.020076481835564
3,world,44,1046,7.50042053911293e-13,True,0.0420650095602294
3,italian,10,1046,8.035988888285617e-13,True,0.0095602294455066
3,italian grand,10,1046,8.035988888285617e-13,True,0.0095602294455066
3,prix row,10,1046,8.035988888285617e-13,True,0.0095602294455066
3,prix time,10,1046,8.035988888285617e-13,True,0.0095602294455066
3,winning,18,1046,8.481845609000683e-11,True,0.017208413001912
3,prix season,9,1046,1.2347448037538722e-10,True,0.008604206500956
3,podium,44,1046,1.2369746988453003e-10,True,0.0420650095602294
3,sector,25,1046,1.4969694138633075e-10,True,0.0239005736137667
3,world championship,23,1046,1.7038066867176975e-10,True,0.0219885277246653
3,formula grand,8,1046,2.1240496045114377e-10,True,0.0076481835564053
3,just grand,8,1046,2.1240496045114377e-10,True,0.0076481835564053
3,winning grand,8,1046,2.1240496045114377e-10,True,0.0076481835564053
3,far,37,1046,3.9750040861931716e-10,True,0.0353728489483747
3,driver,55,1046,6.823194500360958e-10,True,0.0525812619502868
3,lead,41,1046,1.1392523247785554e-09,True,0.0391969407265774
3,entire grand,8,1046,1.8070791477604195e-09,True,0.0076481835564053
3,formula season,7,1046,3.448565233734693e-09,True,0.0066921606118546
3,going grand,7,1046,3.448565233734693e-09,True,0.0066921606118546
3,prix format,7,1046,3.448565233734693e-09,True,0.0066921606118546
3,prix start,7,1046,3.448565233734693e-09,True,0.0066921606118546
3,prix weekend,7,1046,3.448565233734693e-09,True,0.0066921606118546
3,wins,17,1046,3.6277934345516334e-09,True,0.0162523900573613
