pair_id,event_id,threshold,category_id,category_name,register,n_category,n_total,n_assigned,p_all,p_assigned
P05,2024_SaoPaulo_GP,0.35,22,Wheel-to-wheel,FULL_RACE,11,1905,1580,0.005774278215223097,0.006962025316455696
P05,2024_SaoPaulo_GP,0.35,23,Circuit action,FULL_RACE,63,1905,1580,0.03307086614173228,0.039873417721518985
P05,2024_SaoPaulo_GP,0.35,24,Inter-car distance,FULL_RACE,34,1905,1580,0.01784776902887139,0.021518987341772152
P05,2024_SaoPaulo_GP,0.35,25,Driver & team references,FULL_RACE,83,1905,1580,0.04356955380577428,0.052531645569620256
P05,2024_SaoPaulo_GP,0.35,26,Defending & attacking,FULL_RACE,23,1905,1580,0.012073490813648294,0.014556962025316455
P05,2024_SaoPaulo_GP,0.35,27,Overtake battles,FULL_RACE,163,1905,1580,0.08556430446194226,0.10316455696202531
P05,2024_SaoPaulo_GP,0.35,28,Corner battles,FULL_RACE,20,1905,1580,0.010498687664041995,0.012658227848101266
P05,2024_SaoPaulo_GP,0.35,29,Corner specific moves,FULL_RACE,21,1905,1580,0.011023622047244094,0.013291139240506329
P05,2024_SaoPaulo_GP,0.35,30,Lap pace & timing,FULL_RACE,70,1905,1580,0.03674540682414698,0.04430379746835443
P05,2024_SaoPaulo_GP,0.35,31,Race leader changes,FULL_RACE,84,1905,1580,0.04409448818897638,0.053164556962025315
P05,2024_SaoPaulo_GP,0.35,32,Front position changes,FULL_RACE,27,1905,1580,0.014173228346456693,0.01708860759493671
P05,2024_SaoPaulo_GP,0.35,33,Field position changes,FULL_RACE,42,1905,1580,0.02204724409448819,0.026582278481012658
P06,2024_Italy_GP,0.35,0,DRS-assisted battles,HIGHLIGHT,0,69,69,0.0,0.0
P06,2024_Italy_GP,0.35,1,Time penalties,HIGHLIGHT,1,69,69,0.014492753623188406,0.014492753623188406
P06,2024_Italy_GP,0.35,2,Lights-out race starts,HIGHLIGHT,0,69,69,0.0,0.0
P06,2024_Italy_GP,0.35,3,Mirror checks defending,HIGHLIGHT,0,69,69,0.0,0.0
P06,2024_Italy_GP,0.35,4,Race start launch,HIGHLIGHT,2,69,69,0.028985507246376812,0.028985507246376812
P06,2024_Italy_GP,0.35,5,Weather conditions,HIGHLIGHT,0,69,69,0.0,0.0
P06,2024_Italy_GP,0.35,6,Grand Prix wins,HIGHLIGHT,5,69,69,0.07246376811594203,0.07246376811594203
P06,2024_Italy_GP,0.35,7,Race start lights,HIGHLIGHT,0,69,69,0.0,0.0
P06,2024_Italy_GP,0.35,8,Race control flags,HIGHLIGHT,0,69,69,0.0,0.0
P06,2024_Italy_GP,0.35,9,Formula 1 milestones,HIGHLIGHT,0,69,69,0.0,0.0
P06,2024_Italy_GP,0.35,10,Chicane moves,HIGHLIGHT,4,69,69,0.057971014492753624,0.057971014492753624
P06,2024_Italy_GP,0.35,11,Team radio celebrations,HIGHLIGHT,0,69,69,0.0,0.0
P06,2024_Italy_GP,0.35,12,Podium finishes,HIGHLIGHT,0,69,69,0.0,0.0
P06,2024_Italy_GP,0.35,13,Championship & title,HIGHLIGHT,2,69,69,0.028985507246376812,0.028985507246376812
P06,2024_Italy_GP,0.35,14,Pit stops,HIGHLIGHT,2,69,69,0.028985507246376812,0.028985507246376812
P06,2024_Italy_GP,0.35,15,Tires & compounds,HIGHLIGHT,4,69,69,0.057971014492753624,0.057971014492753624
P06,2024_Italy_GP,0.35,16,Safety car deployment,HIGHLIGHT,0,69,69,0.0,0.0
P06,2024_Italy_GP,0.35,17,Gap & pace,HIGHLIGHT,2,69,69,0.028985507246376812,0.028985507246376812
P06,2024_Italy_GP,0.35,18,Team dynamics,HIGHLIGHT,9,69,69,0.13043478260869565,0.13043478260869565
P06,2024_Italy_GP,0.35,19,Race lead holding,HIGHLIGHT,2,69,69,0.028985507246376812,0.028985507246376812
P06,2024_Italy_GP,0.35,20,Wing & car damage,HIGHLIGHT,0,69,69,0.0,0.0
