event_id,threshold,category_id,delta_all,delta_assigned
2023_Qatar_GP,0.35,13,-0.008443113772455088,-0.016328871892925433
2023_Qatar_GP,0.35,14,0.010808383233532934,0.0027151051625238995
2023_Qatar_GP,0.35,15,-0.020838323353293414,-0.043250478011472276
2023_Qatar_GP,0.35,16,0.005029940119760479,0.0008795411089866159
2023_Qatar_GP,0.35,17,-0.027694610778443114,-0.03537284894837476
2023_Qatar_GP,0.35,18,0.09338323353293414,0.07491395793499045
2023_Qatar_GP,0.35,19,-0.005239520958083832,-0.006692160611854685
2023_Qatar_GP,0.35,20,-0.019461077844311378,-0.0248565965583174
2023_Qatar_GP,0.35,21,0.07080838323353295,0.0627151051625239
2023_Qatar_GP,0.35,22,0.053263473053892216,0.051395793499043975
2023_Qatar_GP,0.35,23,-0.007694610778443113,-0.015372848948374759
2023_Qatar_GP,0.35,24,-0.008982035928143712,-0.011472275334608031
2023_Qatar_GP,0.35,25,0.0018263473053892199,-0.008757170172084126
2023_Qatar_GP,0.35,26,0.0412874251497006,0.03609942638623327
2023_Qatar_GP,0.35,27,-0.03934131736526946,-0.06133843212237094
2023_Qatar_GP,0.35,28,-0.015718562874251496,-0.020076481835564052
2023_Qatar_GP,0.35,29,0.014760479041916168,0.013307839388145316
2023_Qatar_GP,0.35,30,0.010808383233532934,0.0027151051625238995
2023_Qatar_GP,0.35,31,-0.036676646706586824,-0.04684512428298279
2023_Qatar_GP,0.35,32,0.024281437125748505,0.01992351816443595
2023_Qatar_GP,0.35,33,0.01529940119760479,0.00845124282982792
2023_Qatar_GP,0.4,0,-0.0029940119760479044,-0.0041928721174004195
2023_Qatar_GP,0.4,1,0.008562874251497009,-0.003208830702092158
2023_Qatar_GP,0.4,2,-0.0014970059880239522,-0.0020964360587002098
2023_Qatar_GP,0.4,3,0.017005988023952097,0.0162152911479057
2023_Qatar_GP,0.4,4,0.018502994011976047,0.018311727206605913
2023_Qatar_GP,0.4,5,0.015508982035928143,0.014118855089205492
2023_Qatar_GP,0.4,6,0.020119760479041918,-0.002224789286783907
2023_Qatar_GP,0.4,7,-0.002245508982035928,-0.0031446540880503146
2023_Qatar_GP,0.4,8,-0.008982035928143712,-0.012578616352201259
2023_Qatar_GP,0.4,9,0.005029940119760479,-0.0005561973216959767
2023_Qatar_GP,0.4,10,0.0,0.0
2023_Qatar_GP,0.4,11,-0.014221556886227544,-0.019916142557651992
2023_Qatar_GP,0.4,12,0.007275449101796408,0.0025884567663543405
2023_Qatar_GP,0.4,13,-0.002455089820359281,-0.011038377615197024
2023_Qatar_GP,0.4,14,0.011556886227544912,0.000984041415308258
2023_Qatar_GP,0.4,15,-0.020089820359281446,-0.05093483934454285
2023_Qatar_GP,0.4,16,0.006526946107784431,0.0015402387370042347
2023_Qatar_GP,0.4,17,-0.025449101796407185,-0.03563941299790356
2023_Qatar_GP,0.4,18,0.09637724550898204,0.07416677362769006
2023_Qatar_GP,0.4,19,-0.005239520958083832,-0.007337526205450734
2023_Qatar_GP,0.4,20,-0.012724550898203593,-0.01781970649895178
2023_Qatar_GP,0.4,21,0.07679640718562875,0.06954605741667737
2023_Qatar_GP,0.4,22,0.053263473053892216,0.051790527531767425
2023_Qatar_GP,0.4,23,-0.001706586826347306,-0.009990159585846918
2023_Qatar_GP,0.4,24,-0.008233532934131737,-0.011530398322851153
2023_Qatar_GP,0.4,25,0.003323353293413177,-0.010546356907542895
2023_Qatar_GP,0.4,26,0.04652694610778443,0.04235656526761648
2023_Qatar_GP,0.4,27,-0.03784431137724551,-0.06819834852179865
2023_Qatar_GP,0.4,28,-0.011976047904191617,-0.016771488469601678
2023_Qatar_GP,0.4,29,0.016257485029940122,0.015167073118555596
2023_Qatar_GP,0.4,30,0.011556886227544912,0.000984041415308258
2023_Qatar_GP,0.4,31,-0.03592814371257485,-0.050314465408805034
2023_Qatar_GP,0.4,32,0.024281437125748505,0.018803747914260042
2023_Qatar_GP,0.4,33,0.019041916167664673,0.011466221708809305
2023_Qatar_GP,0.45,0,-0.0029940119760479044,-0.0047169811320754715
