n_events,mean_delta,median_delta,sd,q1,q3,iqr,min,max,n_negative,n_positive,n_zero,threshold,category_id,metric,category_name,majority_sign,n_majority
10,0.0037827416788334157,0.002961118679512792,0.007496293122954248,-0.0023151747903439913,0.00945279680346808,0.011767971593812071,-0.005808325266214908,0.0162152911479057,5,5,0,0.4,3,assigned,Mirror checks defending,0,5
10,0.006828617270607995,0.0032444725203718567,0.011308459118590809,-0.0031051330350835883,0.015657857551092974,0.018762990586176562,-0.0037821482602118004,0.02555615196516968,5,5,0,0.4,4,all,Race start launch,0,5
10,0.006142431381754639,0.002869772762865731,0.011756699349573305,-0.004306998300590255,0.015225768652218438,0.019532766952808693,-0.005268703898840885,0.02530942020144509,5,5,0,0.4,4,assigned,Race start launch,0,5
10,-0.013538510233111289,-0.0033538695060157594,0.02576916757554221,-0.01178187621202327,-0.0023150875018899146,0.009466788710133355,-0.07078853046594982,0.015508982035928143,9,1,0,0.4,5,all,Weather conditions,-1,9
10,-0.019565196963068583,-0.004436394464086035,0.03530734800359959,-0.01549463450804309,-0.003187243285090643,0.012307391222952447,-0.09801488833746898,0.014118855089205492,9,1,0,0.4,5,assigned,Weather conditions,-1,9
10,0.02778373401009427,0.019771763338500833,0.029608395577168187,0.01770764672286615,0.04304425781562877,0.02533661109276262,-0.03273809523809525,0.07497585928958478,1,9,0,0.4,6,all,Grand Prix wins,1,9
10,0.013976789035660459,0.007324115579319772,0.032311487922188444,-0.0009363970850284238,0.029484204318444923,0.030420601403473347,-0.04837007951096947,0.0713053479010926,3,7,0,0.4,6,assigned,Grand Prix wins,1,7
10,0.0006010562707327142,-0.002345996081232031,0.007327437985049134,-0.0036877749415319184,0.0013418196375144461,0.005029594579046365,-0.0062724014336917565,0.015116214257845158,7,3,0,0.4,7,all,Race start lights,-1,7
10,-0.00043224748799814436,-0.003095556290026681,0.007816849208477888,-0.005071660340760785,-5.113386141828715e-05,0.005020526479342497,-0.008684863523573201,0.014436885865457293,7,3,0,0.4,7,assigned,Race start lights,-1,7
10,0.005133878028711339,0.004285011248593926,0.014875151167379176,-0.007440818977771967,0.007856660246813389,0.015297479224585356,-0.008982035928143712,0.03676495178641101,4,6,0,0.4,8,all,Race control flags,1,6
10,0.0023197710517607406,0.0009172989526771147,0.014549690929704033,-0.009586417665032066,0.005108675188937135,0.0146950928539692,-0.012578616352201259,0.03188208616780045,5,5,0,0.4,8,assigned,Race control flags,0,5
