event_id,k_blocks,n_valid,n_failed,observed_effect,null_mean,null_sd,null_p2.5,null_p97.5,p_one_sided_depletion,below_null_p2.5
2024_Italy_GP,1,10000,0,-0.09467648135345072,0.003667315262479089,0.10168600650632097,-0.20003205641929794,0.17750805053257368,0.1713828617138286,False
2024_Italy_GP,5,10000,0,-0.09467648135345072,0.0035983211249082515,0.0750252730424343,-0.13816593065864885,0.15577856051040073,0.09159084091590841,False
2024_Italy_GP,10,10000,0,-0.09467648135345072,0.004835336156101759,0.06970972317048606,-0.12678011413294946,0.14855182157634472,0.07229277072292771,False
2024_Italy_GP,20,10000,0,-0.09467648135345072,0.00510304914707558,0.06433511484038212,-0.11599844297391981,0.13737082926327698,0.057894210578942104,False
2024_LasVegas_GP,1,10000,0,-0.05566855564136311,0.00571127183496187,0.07975007487594488,-0.1623390150354749,0.15781459042605264,0.1999800019998,False
2024_LasVegas_GP,5,10000,0,-0.05566855564136311,0.0018389214563298189,0.059908291067377224,-0.11407082752678106,0.12036140690545336,0.1745825417458254,False
2024_LasVegas_GP,10,10000,0,-0.05566855564136311,0.00306978708115446,0.05412019421744703,-0.09758731104326457,0.11260946892095727,0.13908609139086092,False
2024_LasVegas_GP,20,10000,0,-0.05566855564136311,0.00187915229766812,0.04960744008165552,-0.09102070691568484,0.10163481514515374,0.12448755124487551,False
2024_Qatar_GP,1,10000,0,-0.07062736205593348,0.004570403568116939,0.1270548476408836,-0.19551969625059323,0.2584972170686457,0.3233676632336766,False
2024_Qatar_GP,5,10000,0,-0.07062736205593348,0.004163752561862784,0.08300680175999221,-0.14560477849676456,0.17596133190118154,0.1927807219278072,False
2024_Qatar_GP,10,10000,0,-0.07062736205593348,0.0042298947408893825,0.0745944001622197,-0.12988662131519274,0.15960286817429678,0.15798420157984203,False
2024_Qatar_GP,20,10000,0,-0.07062736205593348,0.006393916363977858,0.06913586369173225,-0.12121453459432552,0.1496455424274973,0.1317868213178682,False
2025_Belgium_GP,1,10000,0,-0.00744416873449133,-0.0027167200734370804,0.11161212972313882,-0.2236418351723774,0.21542973155876377,0.45545445455454453,False
2025_Belgium_GP,5,10000,0,-0.00744416873449133,-0.000823008028354452,0.08569946250948861,-0.16335814722911499,0.16997518610421836,0.4727527247275273,False
2025_Belgium_GP,10,10000,0,-0.00744416873449133,-0.0015968579218501304,0.08081706765741435,-0.15611177041752078,0.16017126453559088,0.47905209479052097,False
2025_Belgium_GP,20,10000,0,-0.00744416873449133,0.00035249571552848144,0.07529175481940797,-0.13954862341959118,0.15074441687344914,0.46825317468253175,False
2025_Japan_GP,1,10000,0,-0.10741805635422655,0.0025384432495364462,0.09225377843892855,-0.13617827208252736,0.21332916145181477,0.096990300969903,False
2025_Japan_GP,5,10000,0,-0.10741805635422655,0.00024181442908993473,0.06878025598997087,-0.1262825477414682,0.14078014184397167,0.05419458054194581,False
2025_Japan_GP,10,10000,0,-0.10741805635422655,0.0010462619023552007,0.06401460592560411,-0.11760126841243856,0.1324468085106383,0.040195980401959805,False
2025_Japan_GP,20,10000,0,-0.10741805635422655,0.000836033602989155,0.05988256263095458,-0.10921985815602836,0.12252617359000337,0.026197380261973803,False
