event_id,domain,metric,H_r,F_r,observed_effect,null_mean,null_sd,null_p2.5,null_p50,null_p97.5,p_one_sided_depletion,p_one_sided_enrichment,outside_central_95,below_null_p2.5
2024_SaoPaulo_GP,Regulatory,assigned,96,1905,0.04832277738681681,8.628809588228883e-05,0.030704223163409983,-0.05179821474869439,-0.001190927299301675,0.06474313863476425,0.9317068293170683,0.0683931606839316,False,False
2024_SaoPaulo_GP,Strategy & technical,assigned,96,1905,-0.15388224255219327,0.00024056956510954474,0.05072573904479915,-0.09959400205705621,-0.00016805486991500196,0.102603800140746,0.0008999100089991,0.9992000799920008,True,True
2024_SaoPaulo_GP,Narrative & meta,all,96,1905,0.02593503937007874,-2.2252296587936725e-05,0.04047226091376592,-0.07823162729658795,-0.0053149606299212615,0.07801837270341208,0.7814218578142186,0.3006699330066993,False,False
2024_SaoPaulo_GP,Race dynamics,all,96,1905,0.17442585301837266,-0.00036060531496063934,0.04396433247485504,-0.08599081364829397,-0.0026574803149606585,0.09109251968503934,0.9999000099990001,0.00019998000199980003,True,False
2024_SaoPaulo_GP,Regulatory,all,96,1905,0.05631561679790026,4.4783464566929984e-05,0.02306741701911821,-0.03743438320209974,-0.006184383202099734,0.0458989501312336,0.9925007499250075,0.020097990200979902,True,False
2024_SaoPaulo_GP,Strategy & technical,all,96,1905,-0.09635826771653544,0.00016985728346457019,0.03965675820537136,-0.0755249343832021,-0.0026082677165354395,0.0807250656167979,0.0033996600339966003,0.9967003299670033,True,True
2024_Italy_GP,Narrative & meta,assigned,69,1458,-0.02159502216438247,-0.00011373232098491817,0.06268278853310498,-0.12150364232886615,-0.0016056831451927156,0.12339431685480728,0.3711628837116288,0.628937106289371,False,False
2024_Italy_GP,Race dynamics,assigned,69,1458,0.12314449550612061,0.0007824343130598667,0.06702147073023981,-0.13346718294373539,0.0009254022929412464,0.13300087399105442,0.965003499650035,0.035096490350964904,False,False
2024_Italy_GP,Regulatory,assigned,69,1458,-0.006872991988287445,-0.00023414491642707552,0.019549752983663796,-0.021798365122615803,-0.002567595891846571,0.04486830154405086,0.30856914308569144,0.6915308469153084,False,False
2024_Italy_GP,Strategy & technical,assigned,69,1458,-0.09467648135345072,-0.0004345570756478901,0.05985711126273266,-0.11302225249772932,-0.00023489617589023126,0.12114441416893734,0.05399460053994601,0.9461053894610539,False,False
2024_Italy_GP,Narrative & meta,all,69,1458,0.044909643943460364,2.3975666487701053e-06,0.04959370531624807,-0.1000178922884237,0.0014313830738951483,0.10288065843621397,0.8547145285471452,0.21637836216378362,False,False
2024_Italy_GP,Race dynamics,all,69,1458,0.20898192878869204,0.0007587403828949517,0.054802249191318056,-0.10985865092145286,0.0060833780640543456,0.10753265342637319,1.0,9.999000099990002e-05,True,False
2024_Italy_GP,Regulatory,all,69,1458,-0.001968151726605834,-0.00015365897298264556,0.0148253828651172,-0.01646090534979424,-0.001968151726605834,0.027017355519770976,0.6896310368963103,0.6915308469153084,False,False
2024_Italy_GP,Strategy & technical,all,69,1458,-0.03605296117373413,-0.0002862945070674516,0.04671167248924972,-0.09402397566648774,-0.007067453927357303,0.09438182143496154,0.2756724327567243,0.8189181081891811,False,False
2024_LasVegas_GP,Narrative & meta,assigned,105,1344,-0.05207914115100559,-0.0004816490320145295,0.05214252204145487,-0.10000116633037476,-0.0002689039475099464,0.10451309323955055,0.15358464153584642,0.8467153284671532,False,False
2024_LasVegas_GP,Race dynamics,assigned,105,1344,0.13136169333347836,0.0013100506989518717,0.05175356442589758,-0.0979600881745763,0.0006160344979319055,0.10273309551910248,0.9946005399460054,0.005499450054994501,True,False
2024_LasVegas_GP,Regulatory,assigned,105,1344,-0.023613996541109676,-0.0003170565881042579,0.020022826823750877,-0.03484995159728945,0.00044416604976937196,0.042073125325787476,0.062493750624937505,0.939006099390061,False,False
2024_LasVegas_GP,Strategy & technical,assigned,105,1344,-0.05566855564136311,-0.0005113450788330812,0.04404958280788911,-0.0835601617219976,-0.001455770669802084,0.08702807357212003,0.10438956104389562,0.8967103289671033,False,False
2024_LasVegas_GP,Narrative & meta,all,105,1344,-0.01339285714285715,-0.0005128571428571336,0.042946623734917914,-0.0800595238095238,-0.0038690476190476053,0.08184523809523808,0.42845715428457154,0.6544345565443456,False,False
2024_LasVegas_GP,Race dynamics,all,105,1344,0.14002976190476185,0.0008259523809523732,0.04204931822058,-0.07901785714285714,-0.0028273809523809423,0.08288690476190474,0.9994000599940006,0.0006999300069993001,True,False
2024_LasVegas_GP,Regulatory,all,105,1344,-0.01726190476190476,-0.0002599999999999982,0.015412463232170706,-0.026785714285714284,0.0017857142857142863,0.030357142857142857,0.22607739226077392,0.9413058694130587,False,False
2024_LasVegas_GP,Strategy & technical,all,105,1344,-0.03035714285714286,-0.00047047619047619076,0.034849293087934635,-0.06845238095238096,-0.0017857142857142794,0.06488095238095237,0.23917608239176083,0.8384161583841616,False,False
2024_Qatar_GP,Narrative & meta,assigned,55,1631,-0.02839002267573698,-0.0007303222672000814,0.06572991534809004,-0.1256122448979592,-0.000612244897959191,0.13400313971742545,0.3474652534746525,0.668933106689331,False,False
2024_Qatar_GP,Race dynamics,assigned,55,1631,0.029750566893424035,0.0006982892436206853,0.07629404892226282,-0.14802721088435372,-5.9731209556990184e-05,0.15287369001654716,0.658034196580342,0.35356464353564643,False,False
2024_Qatar_GP,Regulatory,assigned,55,1631,0.0692668178382464,-4.9432017555267295e-05,0.04897435577151711,-0.09091836734693878,-0.002282003710575145,0.10359382777501244,0.9143085691430857,0.0857914208579142,False,False
2024_Qatar_GP,Strategy & technical,assigned,55,1631,-0.07062736205593348,8.146504113468835e-05,0.06312035245299659,-0.11877551020408161,-0.002559293987865391,0.13122448979591836,0.12918708129187081,0.8709129087091291,False,False
2024_Qatar_GP,Narrative & meta,all,55,1631,0.029953737249874574,-0.0006026263864890562,0.0513010230045592,-0.09731899002285269,-0.0064098991137617745,0.1026810099771473,0.7873212678732127,0.32736726327367266,False,False
2024_Qatar_GP,Race dynamics,all,55,1631,0.12489827768797723,0.0004219140516136121,0.06179331219012125,-0.1114653586756591,-0.002374449584750027,0.12489827768797723,0.9817018298170183,0.033396660333966606,False,False
2024_Qatar_GP,Regulatory,all,55,1631,0.09475503037734795,-5.769689537930447e-05,0.03727150389306364,-0.06888133325901566,0.0038459394682570647,0.07657321219552979,0.9837016298370163,0.0163983601639836,True,False
2024_Qatar_GP,Strategy & technical,all,55,1631,-0.018861824870408578,4.9084220500516954e-05,0.04902223800285262,-0.0915890975976813,-0.0006800066885903899,0.10841090240231868,0.43595640435956406,0.706929307069293,False,False
2025_Belgium_GP,Narrative & meta,assigned,65,2232,0.03287841191066998,0.000474357409956375,0.06393185014976897,-0.11972704714640198,-0.0008459282652831246,0.13027295285359802,0.7055294470552945,0.29457054294570545,False,False
2025_Belgium_GP,Race dynamics,assigned,65,2232,-0.04156327543424315,-0.0007041677398863263,0.06932935747100805,-0.1337291740517547,-0.0010761128272648857,0.1408740005514199,0.2880711928807119,0.712028797120288,False,False
2025_Belgium_GP,Regulatory,assigned,65,2232,0.016129032258064516,-0.00011808945729210567,0.03086404216735291,-0.04838709677419355,-0.004908835904628331,0.06789197299324831,0.7259274072592741,0.27417258274172585,False,False
2025_Belgium_GP,Strategy & technical,assigned,65,2232,-0.00744416873449133,0.0003478997872220666,0.0671461146114283,-0.12594318124272041,-0.003101736972704716,0.13664185277088503,0.46285371462853714,0.5372462753724627,False,False
2025_Belgium_GP,Narrative & meta,all,65,2232,0.09472704714640201,0.00040550868486354365,0.048373678219355135,-0.08988833746898262,0.0024193548387096975,0.09472704714640201,0.9777022297770223,0.040695930406959305,False,False
2025_Belgium_GP,Race dynamics,all,65,2232,0.04096360628618695,-0.00039177832919766887,0.0535287988470848,-0.09749793217535152,-0.005190239867659208,0.10250206782464849,0.819018098190181,0.260973902609739,False,False
2025_Belgium_GP,Regulatory,all,65,2232,0.02659222497932176,-8.931348221670281e-05,0.02235864060751219,-0.03494623655913978,-0.004177005789909011,0.041976840363937146,0.9229077092290771,0.18898110188981102,False,False
2025_Belgium_GP,Strategy & technical,all,65,2232,0.06934105321202097,0.00029951475048250445,0.05146232642093011,-0.09988971601874827,-0.007582023711055957,0.10011028398125174,0.925007499250075,0.11908809119088092,False,False
2025_Japan_GP,Narrative & meta,assigned,81,1547,0.11423806785508916,-0.0002698542944005892,0.05758669452168464,-0.11065100031756114,-0.0011094224924012575,0.11467398764584763,0.9734026597340266,0.026697330266973303,False,False
2025_Japan_GP,Race dynamics,assigned,81,1547,-0.009166187464059727,-0.00024027361928888284,0.06188068764146658,-0.11774027879677179,-0.001614518147684596,0.12266451880442723,0.44485551444855514,0.5552444755524447,False,False
2025_Japan_GP,Regulatory,assigned,81,1547,0.0023461759631972397,-2.9817045211052552e-05,0.01912121252434466,-0.02468085106382979,-0.007136991414706983,0.04198581560283687,0.5444455554444556,0.4557544245575442,False,False
2025_Japan_GP,Strategy & technical,assigned,81,1547,-0.10741805635422655,0.0005399449589005342,0.05346632882632479,-0.09969604863221884,-0.0006177076183939423,0.10832400149309443,0.016298370162983702,0.9838016198380162,True,True
2025_Japan_GP,Narrative & meta,all,81,1547,0.15130040620236695,-0.00013663083467007375,0.04596410397359153,-0.08326749503220093,0.003152258054218815,0.08957201114063856,0.9998000199980002,0.0007999200079992001,True,False
2025_Japan_GP,Race dynamics,all,81,1547,0.0575706065902144,-9.235637274855825e-05,0.05118051607823594,-0.10292322057027942,-0.00415778847151399,0.10695332263959711,0.8957104289571043,0.15458454154584542,False,False
2025_Japan_GP,Regulatory,all,81,1547,0.005945398102260847,-1.2626589097178286e-05,0.01456076590078598,-0.01874595992243051,-0.006400280910084832,0.030636756126952203,0.8077192280771923,0.4557544245575442,False,False
2025_Japan_GP,Strategy & technical,all,81,1547,-0.06077074704525687,0.00039345048560732654,0.04182427294447971,-0.07311642605760255,0.000957648016471524,0.08737740110289127,0.0887911208879112,0.954004599540046,False,False
