cluster_id,thematic_label,term,train_obs,train_z,train_p,train_q,train_log2fc,test_obs,test_z,test_p,test_q_subset_fdr,test_log2fc,replicated_strict,replicated_lenient,direction_ok
8,(no label),checkered,22,22.394478179278114,0.0,0.0,3.6391594030733256,3,10.292023366396556,0.0,0.0,1.8876334769274368,True,True,True
8,(no label),chequered,10,17.118396129735064,0.0,0.0,3.0480053729108323,4,12.09782380542985,0.0,0.0,2.175272872767897,True,True,True
8,(no label),driver,14,5.947041238664301,0.0,0.0,1.7746427973100787,1,0.30184366397698786,0.509,0.6342301587301588,0.2050643371964638,False,False,True
8,(no label),flag,86,46.23039962775926,0.0,0.0,4.365358666553126,20,28.06209433615148,0.0,0.0,3.8237988249862167,True,True,True
8,(no label),flags,4,7.996006565758726,0.0,0.0,2.0139167803351845,2,6.7277127761802875,0.003,0.006680851063829788,1.471262001556428,True,True,True
8,(no label),flies,4,12.425017487252648,0.0,0.0,2.198924140832543,2,9.647185490772339,0.0,0.0,1.5242233428634777,True,True,True
8,(no label),fly,3,9.458757059274912,0.0,0.0,1.862496476250065,1,6.827814263660635,0.021,0.03746590909090909,0.9700171337842857,True,True,True
8,(no label),grand,26,5.102027738609736,0.0,0.0,1.2563813129747894,4,0.8929678567495171,0.241,0.31270247933884293,0.47754244188479117,False,False,True
8,(no label),green,22,23.79373757499724,0.0,0.0,3.636816731314904,10,17.313928728053096,0.0,0.0,3.0665647024064975,True,True,True
8,(no label),lights,27,16.658315158567575,0.0,0.0,3.1933518771926996,9,10.404915206548809,0.0,0.0,2.639354797539784,True,True,True
8,(no label),nation,12,7.615416740625738,0.0,0.0,2.228992101763701,1,0.7014865538359646,0.401,0.503656,0.4064071941354038,False,False,True
8,(no label),place,37,4.209528814700284,0.0,0.0,0.9280206067755798,10,3.2887433510019153,0.002,0.0046518518518518515,1.158429362604483,True,True,True
8,(no label),prix,26,4.992031392224695,0.0,0.0,1.2338367652625055,4,0.8242530766908696,0.259,0.33467489711934156,0.44143846819954285,False,False,True
8,(no label),racing,16,11.636823701336285,0.0,0.0,2.7347043162097027,6,8.692513459932918,0.0,0.0,2.318839913099792,True,True,True
8,(no label),red,19,17.90142819298759,0.0,0.0,3.3378856687903387,2,9.227984661997453,0.0,0.0,1.5187010584524347,True,True,True
8,(no label),sector,7,7.706277539757522,0.0,0.0,2.2986727425870592,1,2.143987531970432,0.113,0.15982882882882885,0.8173077024838097,False,False,True
8,(no label),sees,7,9.566858336672045,0.0,0.0,2.4402634755670176,0,-0.3169046985709895,1.0,1.0,-0.14012422390907064,False,False,False
8,(no label),underway,14,15.413831066471808,0.0,0.0,3.0750133544168454,4,7.451369685977029,0.0,0.0,1.9930916306578224,True,True,True
8,(no label),yellow,24,23.629807772597857,0.0,0.0,3.7133080705268697,4,9.75732641055799,0.0,0.0,2.1818038709782916,True,True,True
9,(no label),career,5,7.54817971402651,0.0,0.0,2.1328942704973453,3,4.261302314855009,0.014,0.025858823529411764,1.6159501932048403,True,True,True
9,(no label),formula,74,52.96098881509289,0.0,0.0,4.659813763677701,40,32.90562921290235,0.0,0.0,4.167253212991489,True,True,True
9,(no label),personal,3,10.09942329874096,0.0,0.0,1.8769960459451802,1,5.101669043266823,0.037,0.06147089947089947,0.9475841058488614,False,True,True
9,(no label),podium,18,9.17229275482213,0.0,0.0,2.384385462264006,7,4.435775810730058,0.0,0.0,1.7107557148433574,True,True,True
9,(no label),season,7,5.357981528505602,0.0,0.0,1.8520421186128986,3,3.2823305742618096,0.017,0.030855491329479772,1.3686628558725187,True,True,True
9,(no label),time,18,5.338188008288106,0.0,0.0,1.5716601051776957,8,3.3178935704283963,0.005,0.010466666666666668,1.325539348439741,True,True,True
10,(no label),chicane,45,49.64977940793737,0.0,0.0,4.703893772560557,17,31.224351603761914,0.0,0.0,3.83421309112185,True,True,True
11,(no label),amazing,6,15.420116286590734,0.0,0.0,2.656795245482223,3,12.899780685916536,0.0,0.0,1.9254945636363703,True,True,True
11,(no label),drive,9,12.986308856383221,0.0,0.0,2.847881495568057,2,4.520269441183293,0.016,0.02938011695906433,1.3833286395515056,True,True,True
11,(no label),fantastic,5,16.080132580304436,0.0,0.0,2.4860040206329876,2,9.227984661997453,0.0,0.0,1.5187010584524347,True,True,True
11,(no label),good,10,7.661885684541176,0.0,0.0,2.386982768567605,8,7.70469927356244,0.0,0.0,2.430076898742985,True,True,True
11,(no label),great,8,8.960436453198978,0.0,0.0,2.5036228732692174,3,4.237411306067209,0.01,0.019146341463414634,1.5713215900517699,True,True,True
