cluster_id,term,is_bigram,is_whitelist,observed_count,null_mean,null_std,z_score,log2_fc,p_value,q_value_fdr
5,going,False,False,14,5.485,2.427709826153034,3.5074208244619287,1.2097840211315436,0.0,0.0
5,laps,False,False,4,0.364,0.6127838117966238,5.933577111542151,1.874084450525277,0.0,0.0
5,light,False,False,3,0.074,0.26556355171596874,11.018078275777388,1.8970060066766743,0.0,0.0
5,minutes,False,False,5,0.043,0.24320978598732412,20.381581192865134,2.5242233428634777,0.0,0.0
5,rain,False,False,36,0.36,0.6280127387243033,56.750441197094744,4.765846714153335,0.0,0.0
5,rain coming,True,False,4,0.055,0.23232520310977886,16.98050812909824,2.244685095954902,0.0,0.0
5,rain falling,True,False,2,0.015,0.12155245781143217,16.330397885326086,1.5634827733107048,0.0,0.0
5,temperature,False,False,3,0.156,0.38944062448594136,7.302782044770132,1.7908586021614084,0.0,0.0
5,track,False,False,7,0.963,1.0156923746883209,5.943728780923984,2.026939827195916,0.0,0.0
5,wet,False,False,5,0.113,0.3350089551041882,14.587669748947864,2.4305089080412836,0.0,0.0
6,abu,False,False,5,0.567,0.699650627098983,6.336019476436261,1.936957320910663,0.0,0.0
6,abu dhabi,True,False,5,0.567,0.699650627098983,6.336019476436261,1.936957320910663,0.0,0.0
6,arabian,False,False,8,0.707,0.7830395903145638,9.313705322447674,2.3984619430766614,0.0,0.0
6,arabian grand,True,False,8,0.707,0.7830395903145638,9.313705322447674,2.3984619430766614,0.0,0.0
6,australian,False,False,11,1.065,0.9933654916494735,10.001354067074578,2.5388207190764356,0.0,0.0
6,australian grand,True,False,11,1.065,0.9933654916494735,10.001354067074578,2.5388207190764356,0.0,0.0
6,austrian,False,False,8,1.001,0.935413812170849,7.482250004152885,2.169203834198658,0.0,0.0
6,austrian grand,True,False,8,1.001,0.935413812170849,7.482250004152885,2.169203834198658,0.0,0.0
6,azerbaijan,False,False,7,0.735,0.8250909040826957,7.59310273449831,2.2050643371964638,0.0,0.0
6,azerbaijan grand,True,False,7,0.735,0.8250909040826957,7.59310273449831,2.2050643371964638,0.0,0.0
6,belgian,False,False,11,1.071,0.9736318606126241,10.197899639143404,2.5346349471627314,0.0,0.0
6,belgian grand,True,False,11,1.071,0.9736318606126241,10.197899639143404,2.5346349471627314,0.0,0.0
6,british,False,False,20,1.961,1.4019554201186284,12.867028252919487,2.8262329322632933,0.0,0.0
6,british grand,True,False,20,1.961,1.4019554201186284,12.867028252919487,2.8262329322632933,0.0,0.0
6,canadian,False,False,9,0.99,1.0148398888494676,7.892870676458139,2.3291596641184382,0.0,0.0
6,canadian grand,True,False,9,0.99,1.0148398888494676,7.892870676458139,2.3291596641184382,0.0,0.0
6,chinese,False,False,4,0.455,0.64185278686004,5.523073316145014,1.780908941753803,0.0,0.0
6,chinese grand,True,False,4,0.455,0.64185278686004,5.523073316145014,1.780908941753803,0.0,0.0
6,dhabi,False,False,5,0.567,0.699650627098983,6.336019476436261,1.936957320910663,0.0,0.0
6,dhabi grand,True,False,5,0.567,0.699650627098983,6.336019476436261,1.936957320910663,0.0,0.0
6,dutch,False,False,12,1.154,1.0120691675967606,10.716658848282767,2.593421468258972,0.0,0.0
6,dutch grand,True,False,12,1.154,1.0120691675967606,10.716658848282767,2.593421468258972,0.0,0.0
6,emilia,False,False,4,0.373,0.5620240208389674,6.453460822876853,1.864596469402349,0.0,0.0
6,emilia romagna,True,False,4,0.373,0.5620240208389674,6.453460822876853,1.864596469402349,0.0,0.0
6,ends,False,False,6,0.671,0.8454342079665336,6.303269905315858,2.066643188658503,0.0,0.0
6,final,False,False,21,6.943,2.663034171767235,5.278565385689939,1.4697476153395628,0.0,0.0
6,formula grand,True,False,5,0.46,0.6483826030978931,7.002038577698466,2.0389941316158637,0.0,0.0
6,going win,True,False,4,0.49,0.6541406576570516,5.365818435092898,1.7466157641999256,0.0,0.0
6,grand,False,False,457,47.055,6.37353708704986,64.31985793774561,3.252589145666964,0.0,0.0
6,grand prix,True,False,457,47.055,6.37353708704986,64.31985793774561,3.252589145666964,0.0,0.0
6,grands,False,False,10,1.009,0.9353710493702487,9.612228223284559,2.4529540545660926,0.0,0.0
6,grands prix,True,False,10,1.009,0.9353710493702487,9.612228223284559,2.4529540545660926,0.0,0.0
6,grid,False,False,14,2.893,1.727295863481413,6.43028228969039,1.9460082509233223,0.0,0.0
