phase,config,nc,noise_pct,ari,jaccard,max_diff,rows_diff,notes
C,hdb_mcs31_ms20_eom,36,32.73,0.8279,0.9067,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms20_leaf,43,46.55,0.5547,0.8261,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms25_eom,35,29.99,0.8308,0.9293,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms25_leaf,41,42.43,0.6611,0.8717,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms30_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs31_ms30_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs32_msNone_eom,35,32.95,0.9484,0.9597,,,grid on PHASE-B umap_ref
C,hdb_mcs32_msNone_leaf,40,44.02,0.6775,0.8941,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms5_eom,38,28.17,0.6774,0.8537,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms5_leaf,51,47.48,0.4063,0.7175,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms10_eom,38,30.57,0.7110,0.8698,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms10_leaf,48,48.33,0.4375,0.7627,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms15_eom,36,30.38,0.7473,0.8552,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms15_leaf,45,48.21,0.4952,0.7881,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms20_eom,36,32.73,0.8279,0.9067,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms20_leaf,43,46.55,0.5547,0.8261,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms25_eom,35,29.99,0.8308,0.9293,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms25_leaf,41,42.43,0.6611,0.8717,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms30_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs32_ms30_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs33_msNone_eom,35,33.27,0.9639,0.9721,,,grid on PHASE-B umap_ref
C,hdb_mcs33_msNone_leaf,39,43.53,0.7011,0.9097,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms5_eom,37,28.59,0.6884,0.8537,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms5_leaf,49,47.42,0.4237,0.7347,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms10_eom,37,30.99,0.7219,0.8698,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms10_leaf,47,48.75,0.4456,0.7627,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms15_eom,36,30.38,0.7473,0.8552,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms15_leaf,45,48.21,0.4952,0.7881,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms20_eom,36,32.73,0.8279,0.9067,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms20_leaf,43,46.55,0.5547,0.8261,,,grid on PHASE-B umap_ref
