cluster_id,term,is_bigram,in_cluster,corpus_docfreq,cluster_size,expected,p_value,q_value_fdr,significant
13,seven,0,7,45,158,0.93,3.3016253334955665e-05,0.006582008039655744,True
13,seven time,1,6,12,158,0.248,5.9022432116449675e-08,2.112842245703186e-05,True
13,tally,0,3,4,158,0.083,3.410224456170325e-05,0.006767698612595659,True
13,time,0,24,484,158,10.0,5.00209585605902e-05,0.009649858225926723,True
13,time champion,1,4,4,158,0.083,1.755454122102887e-07,5.794586450889168e-05,True
13,time world,1,10,20,158,0.413,1.6496212873164648e-12,1.0675893903570831e-09,True
13,title,0,15,42,158,0.868,1.6666108145443911e-15,1.4217705348804151e-12,True
13,today,0,8,65,158,1.343,5.1682578266888486e-05,0.009926681874840266,True
13,trophy,0,7,10,158,0.207,1.6042799369592724e-10,7.98348034083187e-08,True
13,win,0,23,148,158,3.058,2.0793670923741767e-14,1.6260650662366062e-11,True
13,win world,1,3,4,158,0.083,3.410224456170325e-05,0.006767698612595659,True
13,winner,0,6,43,158,0.888,0.00022918091929249667,0.03580127521161836,True
13,world,0,67,145,158,2.996,8.987306418325403e-79,4.373023585236734e-75,True
13,world champion,1,19,49,158,1.012,3.59674665812109e-20,3.8416763329863117e-17,True
13,world championship,1,33,72,158,1.488,1.3616316312775927e-37,2.8394558284242065e-34,True
13,world title,1,4,4,158,0.083,1.755454122102887e-07,5.794586450889168e-05,True
14,60,0,3,4,185,0.097,5.4748524767430266e-05,0.010409033559834904,True
14,60 kilometers,1,3,3,185,0.073,1.3935988122618614e-05,0.002981847517259191,True
14,called,0,4,12,185,0.29,0.00014099515404795984,0.023626759385465268,True
14,called pits,1,3,4,185,0.097,5.4748524767430266e-05,0.010409033559834904,True
14,cheap,0,3,5,185,0.121,0.00013442988965214564,0.02261313851848948,True
14,come,0,17,210,185,5.08,1.1732863772015191e-05,0.002666810918533335,True
14,come pit,1,4,5,185,0.121,1.6276148442866943e-06,0.000454956442091508,True
14,come pits,1,6,13,185,0.315,2.7560076967324756e-07,8.745731090964388e-05,True
14,comes,0,23,286,185,6.919,3.409541373440812e-07,0.00010639712766678387,True
14,comes pit,1,6,8,185,0.194,4.9763513569803726e-09,2.1021644240342554e-06,True
14,coming,0,18,187,185,4.524,5.225482542803128e-07,0.00015602340785075085,True
14,coming pit,1,7,7,185,0.169,4.335822507184865e-12,2.674286468093516e-09,True
14,coming pits,1,5,14,185,0.339,1.3165273144329834e-05,0.0029379841207460397,True
14,crew,0,4,12,185,0.29,0.00014099515404795984,0.023626759385465268,True
14,crews,0,3,5,185,0.121,0.00013442988965214564,0.02261313851848948,True
14,exit pit,1,3,4,185,0.097,5.4748524767430266e-05,0.010409033559834904,True
14,fast,0,5,24,185,0.581,0.00022954272662186772,0.03581520813856828,True
14,fast lane,1,4,6,185,0.145,4.790401289592939e-06,0.0011896857463545595,True
14,going pit,1,3,6,185,0.145,0.00026406937801469823,0.040766602357296115,True
14,high pressure,1,3,3,185,0.073,1.3935988122618614e-05,0.002981847517259191,True
14,kilometers hour,1,3,6,185,0.145,0.00026406937801469823,0.040766602357296115,True
14,lane,0,47,75,185,1.814,3.907736023110247e-59,1.2223398280288855e-55,True
14,make pit,1,4,8,185,0.194,2.1517623965609396e-05,0.004389595288984317,True
14,pit,0,139,235,185,5.685,1.2838551889027e-189,1.2974443022867778e-185,True
14,pit crew,1,3,3,185,0.073,1.3935988122618614e-05,0.002981847517259191,True
14,pit lane,1,45,69,185,1.669,9.08489317603288e-58,2.775667269522083e-54,True
14,pit stop,1,50,90,185,2.177,3.5617754960042277e-59,1.1698295439076287e-55,True
14,pit stops,1,4,12,185,0.29,0.00014099515404795984,0.023626759385465268,True
