cluster_id,checkpoint,cumulative_mean,abs_diff_vs_full,passes_at_0.50
5,20,0.7285927552839317,0.04106113862344496,True
6,20,0.6945969174252217,0.07727608790714935,True
7,20,0.83390931372549,0.0594292225662193,True
8,20,0.7132248339839369,0.037860000816774764,True
9,20,0.6513324091392044,0.03136005134168596,True
10,20,0.8412132352941176,0.032083061002178614,True
11,20,0.7600601604278076,0.018698837110601718,True
12,20,0.7664924203333647,0.026072976349065802,True
13,20,0.5627307777100481,0.03479201004250243,True
14,20,0.447149409741119,0.09615009893699661,False
15,20,0.6264161322423708,2.0450663102966615e-05,True
16,20,0.6316329766724504,0.035622699153271764,True
17,20,0.5807435416264835,0.041310685692988125,True
18,20,0.3689785231371017,0.0032644355680800374,False
19,20,0.6065936881260712,0.0012718439329023612,True
20,20,0.6563035345717234,0.012903533076083162,True
21,20,0.5108211370672671,0.005975641541954291,True
22,20,0.6049738346493608,0.039584485804089686,True
23,20,0.5959026725338645,0.014780382865168029,True
24,20,0.4647733978546997,0.025589760058900735,False
25,20,0.4919345775309651,0.03913910226553413,False
26,20,0.48693111929950283,0.0671070629121423,False
27,20,0.3408333165352092,0.048044019941846816,False
28,20,0.657690620782726,0.023116988540677785,True
29,20,0.6819024806892455,0.006682060470675766,True
30,20,0.5748106963540424,0.008760345318259088,True
31,20,0.6204821049200253,0.0005340343882737075,True
32,20,0.42317219542380097,0.010435305147997564,False
33,20,0.43595205103765694,0.026040572894059033,False
0,50,0.8187794117647057,0.009766339869280882,True
1,50,0.8141666666666665,0.005533333333333612,True
2,50,0.6740239078087376,0.026316262469900153,True
3,50,0.7495482456140351,0.02429061122056475,True
4,50,0.8429000933706817,0.007641241584352865,True
5,50,0.7632849119977603,0.0063689819096164335,True
6,50,0.6214060912512765,0.004085261733204226,True
7,50,0.7710942552459579,0.0033858359133128735,True
8,50,0.6979498521064345,0.02258501893927234,True
9,50,0.6042611399674243,0.015711217830094215,True
10,50,0.7963137254901962,0.012816448801742819,True
11,50,0.7612024021729904,0.01755659536541887,True
12,50,0.7374395748730115,0.0029798691112874476,True
13,50,0.5347319172123252,0.006793149544779498,True
14,50,0.5329673367987102,0.010332171879405383,True
15,50,0.6094630915524104,0.01693259002685743,True
16,50,0.6716243837861485,0.004368707960426321,True
17,50,0.597008815245119,0.025045412074352624,True
18,50,0.35413929200821437,0.01810366669696739,False
19,50,0.6104112303295914,0.002545698270617902,True
20,50,0.6791216516354825,0.009914583987675973,True
21,50,0.5088711410548903,0.004025645529577515,True
22,50,0.6236957509354341,0.02086256951801646,True
23,50,0.5877658416354997,0.02291721376353284,True
24,50,0.4830221639208437,0.007340993992756728,False
25,50,0.5035999239168083,0.02747375587969092,True
26,50,0.5287611460126791,0.02527703619896604,True
27,50,0.39191479503740356,0.003037458560347539,False
28,50,0.6754493866039836,0.04087575436193536,True
29,50,0.6966975382442,0.008112997084278706,True
30,50,0.5774868403520116,0.0060842013202898615,True
31,50,0.6096205110080631,0.010327559523688468,True
32,50,0.41391359626823565,0.0011767059924322476,False
33,50,0.41581994058834754,0.005908462444749629,False
0,75,0.8147788671023966,0.0057657952069717355,True
1,75,0.8145,0.0052000000000000934,True
2,75,0.6897937163169362,0.010546453961701507,True
3,75,0.7301988304093567,0.004941196015886384,True
4,75,0.8532667289137877,0.002725393958753153,True
5,75,0.7742683727043892,0.004614478797012489,True
6,75,0.6377977304922002,0.02047690097412791,True
7,75,0.7848765623208346,0.010396471161563836,True
8,75,0.6877219860276126,0.012357152860450471,True
9,75,0.6255964585433726,0.005624100745854177,True
10,75,0.8027127814088597,0.006417392883079298,True
11,75,0.7599520838638485,0.018806913674560777,True
12,75,0.7349566112250322,0.005462832759266734,True
13,75,0.5303469533862527,0.0024081857187070455,True
14,75,0.5379735206369649,0.005325988041150698,True
15,75,0.6218668984552885,0.0045287831239793075,True
16,75,0.6619644951425138,0.005291180683208441,True
17,75,0.6081135643495315,0.01394066296994012,True
18,75,0.36260280779579307,0.00964015090938869,False
19,75,0.6029041216307316,0.004961410428241941,True
20,75,0.6659133450990363,0.0032937225487702504,True
21,75,0.49624545403657483,0.008600041488737942,False
22,75,0.6494566253074128,0.004898304853962254,True
23,75,0.5996089532274698,0.011074102171562794,True
24,75,0.480634189442707,0.009728968470893384,False
25,75,0.517379922843166,0.013693756953333192,True
26,75,0.5485763621084417,0.005461820103203396,True
27,75,0.3899979712400483,0.0011206347629922897,False
28,75,0.6465236152332418,0.011949982991193542,True
29,75,0.6864475736669168,0.0021369674930045157,True
30,75,0.5893526306972301,0.005781589024928646,True
