cell,cache,mcs,cluster,n_viable_runs,n_pass,pass_rate_viable,n_reconstructed,reconstruction_rate_all_runs,median_rep_strict,iqr_lo_rep_strict,iqr_hi_rep_strict,median_rep_dir,iqr_lo_rep_dir,iqr_hi_rep_dir,median_den,min_den,max_den
A30,A,30,21,44,24,0.5454545454545454,44,0.88,0.5311355311355311,0.41544117647058826,0.6666666666666666,0.7207792207792207,0.5958333333333333,0.8290229885057472,14.5,7,51
A30,A,30,22,44,35,0.7954545454545454,43,0.86,0.6,0.5,0.6666666666666666,0.6666666666666666,0.6,0.7777777777777778,9.0,0,12
A30,A,30,23,44,21,0.4772727272727273,44,0.88,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.5,0.39375000000000004,0.6666666666666666,5.0,2,8
A30,A,30,24,44,9,0.20454545454545456,26,0.52,0.40064102564102566,0.2857142857142857,0.5,0.4676113360323887,0.2924107142857143,0.525,9.5,0,19
A30,A,30,25,44,23,0.5227272727272727,36,0.72,0.5555555555555556,0.4375,0.6488095238095238,0.6515151515151515,0.5,0.7142857142857143,7.5,0,16
A30,A,30,26,44,20,0.45454545454545453,43,0.86,0.42857142857142855,0.35416666666666663,0.5,0.6666666666666666,0.5714285714285714,0.7142857142857143,7.5,0,11
A30,A,30,27,44,14,0.3181818181818182,44,1.0,0.4,0.3269230769230769,0.5113636363636364,0.7817460317460317,0.7,0.8616071428571428,9.0,4,19
A30,A,30,28,44,15,0.3409090909090909,38,0.76,0.42857142857142855,0.3333333333333333,0.5,0.69375,0.5714285714285714,0.7708333333333334,8.0,0,20
A30,A,30,29,44,8,0.18181818181818182,22,0.44,0.4409722222222222,0.38125,0.5,0.5227272727272727,0.41964285714285715,0.6666666666666666,4.0,0,17
A30,A,30,30,44,21,0.4772727272727273,43,0.86,0.47619047619047616,0.4226190476190476,0.562200956937799,0.6923076923076923,0.5714285714285714,0.7669683257918551,15.5,0,24
A30,A,30,31,44,27,0.6136363636363636,44,0.88,0.5119047619047619,0.4375,0.5833333333333334,0.6666666666666666,0.6235119047619048,0.8031250000000001,14.5,9,33
