cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
0,tier1setupshop com,3,3,62,0.031,1.0686193650608988e-06,1,0.0001894315961782
0,today www,3,3,62,0.031,1.0686193650608988e-06,1,0.0001894315961782
0,www com,3,3,62,0.031,1.0686193650608988e-06,1,0.0001894315961782
0,www tier1setupshop,3,3,62,0.031,1.0686193650608988e-06,1,0.0001894315961782
0,support,4,10,62,0.104,2.118413465552816e-06,0,0.0003574041806628
0,proud,3,4,62,0.042,4.242762901622571e-06,0,0.0006544045818605
0,use code,3,4,62,0.042,4.242762901622571e-06,1,0.0006544045818605
0,shop,3,5,62,0.052,1.0528237810178706e-05,0,0.0014922117238615
0,save,4,15,62,0.156,1.3243017855757176e-05,0,0.0018519624748062
0,want,4,26,62,0.27,0.0001331351308693,0,0.0153166248365796
0,proud partners,2,3,62,0.031,0.0003165784868992,1,0.0320293957887016
0,thank partners,2,3,62,0.031,0.0003165784868992,1,0.0320293957887016
0,thank proud,2,3,62,0.031,0.0003165784868992,1,0.0320293957887016
0,time thank,2,3,62,0.031,0.0003165784868992,1,0.0320293957887016
1,flag,80,91,94,1.434,8.518372438395425e-154,0,2.6803058877411205e-149
1,green,52,64,94,1.008,1.3370177910724788e-89,0,7.648957235653736e-86
1,green flag,44,48,94,0.756,5.8043294627484284e-80,1,2.809741946851989e-76
1,flag air,27,27,94,0.425,3.585902150637083e-51,1,9.026432893583665e-48
1,air,27,38,94,0.599,3.8255730795818794e-42,0,8.597975496360276e-39
1,got flag,10,10,94,0.158,5.777080551247365e-19,1,5.193595415571383e-16
1,flag racing,10,12,94,0.189,3.7157420052320323e-17,1,2.8516054193811195e-14
1,ready,13,37,94,0.583,4.103168097321198e-15,0,2.66198317901467e-12
1,white,10,19,94,0.299,4.751583673247989e-14,0,2.6461695624557168e-11
1,checker,7,8,94,0.126,1.518095533713487e-12,0,6.454983238958765e-10
1,ready green,7,8,94,0.126,1.518095533713487e-12,1,6.454983238958765e-10
1,white flag,6,7,94,0.11,8.999034984023964e-11,1,3.0283918264418615e-08
1,getting ready,6,8,94,0.126,3.554071127598183e-10,1,1.1182884802987683e-07
1,flag stand,5,5,94,0.079,8.722286589591872e-10,1,2.541173588347299e-07
1,stand,5,5,94,0.079,8.722286589591872e-10,0,2.541173588347299e-07
1,flag hand,4,4,94,0.063,5.778999437081817e-08,1,1.2760436300896797e-05
1,got green,4,4,94,0.063,5.778999437081817e-08,1,1.2760436300896797e-05
1,checkered,5,9,94,0.142,1.0453510810066352e-07,0,2.2606166160737987e-05
1,green white,4,5,94,0.079,2.854610572182541e-07,1,5.757712926520747e-05
1,hand,4,5,94,0.079,2.854610572182541e-07,0,5.757712926520747e-05
