category_id,axis1_recovered,axis1_total,axis1_judges_expected,axis1_judges_missing,axis1_complete,axis1_score,axis2_score,axis2_std,has_estimate,n_train_enriched,n_test_strict,n_test_lenient,n_test_direction,rep_strict,rep_lenient,rep_dir,axis3_pass,axis3_score,axis4_score,axis4_std
13,5,7,7,,True,0.7142857142857143,0.5093762849033683,0.3036390986715077,True,13,4,5,5,0.3076923076923077,0.3846153846153846,0.3846153846153846,False,0.3076923076923077,0.5061044589113642,0.137960845028689
14,4,7,7,,True,0.5714285714285714,0.6803407082298986,0.2821344615064761,True,5,0,0,1,0.0,0.0,0.2,False,0.0,0.5220016982071936,0.1597944204547495
15,1,7,7,,True,0.1428571428571428,0.3854245926243216,0.2449147657941321,True,23,8,11,13,0.3478260869565217,0.4782608695652174,0.5652173913043478,False,0.3478260869565217,0.5608816183816184,0.1857491681509804
16,3,7,7,,True,0.4285714285714285,0.2329207970424625,0.1932398748802748,False,0,0,0,0,,,,False,,0.8366389599317989,0.0910557794013794
17,5,7,7,,True,0.7142857142857143,0.3280118163127036,0.2684396909990174,True,20,1,3,3,0.05,0.15,0.15,False,0.05,0.8347549019607843,0.114160436439169
18,2,7,7,,True,0.2857142857142857,0.483596790936024,0.2905673357891549,True,9,2,2,4,0.2222222222222222,0.2222222222222222,0.4444444444444444,False,0.2222222222222222,0.4308045175273325,0.1159061532618453
19,4,7,7,,True,0.5714285714285714,0.5529799585957964,0.2958032535734102,True,32,7,15,16,0.21875,0.46875,0.5,False,0.21875,0.6646717171717171,0.175266577319212
20,1,7,7,,True,0.1428571428571428,0.1731161512051775,0.1182582107258461,True,25,14,14,15,0.56,0.56,0.6,True,0.56,0.5901536576884874,0.1679065799189973
21,3,7,7,,True,0.4285714285714285,0.5837821456351298,0.3746343957951568,False,0,0,0,0,,,,False,,0.6527102683178534,0.0767920167853535
22,6,7,7,,True,0.8571428571428571,0.6603752296123407,0.3231846177858813,False,0,0,0,0,,,,False,,0.6841666666666666,0.170556686568816
23,5,7,7,,True,0.7142857142857143,0.5752052105555349,0.2423660032519099,True,48,12,16,20,0.25,0.3333333333333333,0.4166666666666667,False,0.25,0.6016197800021329,0.1659158889599626
24,2,7,7,,True,0.2857142857142857,0.3636255253791268,0.3102629367549266,True,16,2,2,3,0.125,0.125,0.1875,False,0.125,0.7501785714285714,0.1533109756141554
25,3,7,7,,True,0.4285714285714285,0.4969378695523107,0.2812797940169934,False,0,0,0,0,,,,False,,0.6623076923076924,0.1838950065622427
26,6,7,7,,True,0.8571428571428571,0.6740585965234261,0.3233802123925083,False,0,0,0,0,,,,False,,0.6720168067226892,0.1535387332180898
27,1,7,7,,True,0.1428571428571428,0.2921588526700468,0.1449475161085887,False,0,0,0,0,,,,False,,0.3801775025235145,0.1325687387087236
28,1,7,7,,True,0.1428571428571428,0.2025099349700637,0.2262323464278232,False,0,0,0,0,,,,False,,0.7019956140350877,0.1995023637844583
29,3,7,7,,True,0.4285714285714285,0.1881419045563966,0.165781068299448,False,0,0,0,0,,,,False,,0.4640837705235238,0.1819307842159304
30,3,7,7,,True,0.4285714285714285,0.3902421390032378,0.1969628284779389,True,37,12,20,33,0.3243243243243243,0.5405405405405406,0.8918918918918919,False,0.3243243243243243,0.4572544953465257,0.1198077209436612
